time,open,high,low,close
2022-08-15,24315.41,25207.71,23786.19,24103.81
2022-08-16,24100.88,24247.78,23674.05,23865.17
2022-08-17,23864.33,24432.87,23189.52,23341.6
2022-08-18,23343.34,23595.27,23111.04,23196.34
2022-08-19,23192.52,23200.47,20793.1,20836.46
2022-08-20,20836.46,21368.71,20765.5,21140.87
2022-08-21,21144.06,21794.33,21072.19,21495.97
2022-08-22,21519.23,21531.6,20900.3,21404.35
2022-08-23,21404.18,21675.58,20897.17,21523
2022-08-24,21524.67,21902.85,21151.05,21370.71
2022-08-25,21368.69,21810.94,21315.27,21566.32
2022-08-26,21559.81,21873.84,20112.15,20246.01
2022-08-27,20240.68,20377.76,19804.96,20037.31
2022-08-28,20038.21,20154.5,19522.36,19550.11
2022-08-29,19553.98,20417.94,19552.04,20294.27
2022-08-30,20292.52,20573.94,19549.2,19811.34
2022-08-31,19821.28,20484.35,19811.57,20053.81
2022-09-01,20050.07,20201.73,19565.74,20127.44
2022-09-02,20130.6,20438.09,19762.1,19954.25
2022-09-03,19953.02,20048.74,19660.86,19835.94
2022-09-04,19835.06,20020.46,19594.03,20004.08
2022-09-05,20006.61,20051.5,19638.15,19791.58
2022-09-06,19793.65,20171.52,18667.06,18790.61
2022-09-07,18795.9,19460.3,18535.47,19285.24
2022-09-08,19295.25,19451.63,19017.93,19322.2
2022-09-09,19323.45,21602.83,19302.29,21370.03
2022-09-10,21373.53,21807.26,21132.57,21655.74
2022-09-11,21662.26,21861.83,21361.52,21839.13
2022-09-12,21834.42,22483.73,21559.45,22403.06
2022-09-13,22399.41,22789.75,19865.09,20174.25
2022-09-14,20174.37,20530.59,19623.9,20231.86
